['Time', '0: 2004-12-01', '1: 2008-09-05', '2: 2008-12-11', '3: 2009-01-14', '4: 2009-03-19', '5: 2010-09-15', '6: 2011-01-20', '7: 2012-03-06', '8: 2012-10-09', '9: 2012-11-14', '10: 2012-12-12', '11: 2013-12-12', '12: 2014-03-24', '13: 2015-05-27', '14: 2016-05-26', '15: 2017-09-15', '16: 2017-09-22', '17: 2018-02-19', '18: 2019-01-08', '19: 2019-05-22', '20: 2019-08-13', '21: 2021-04-06', '22: 2021-07-10', '23: 2021-08-15', '24: 2022-01-03', '25: 2022-05-25', '26: 2024-01-25', '27: 2024-02-09', '28: 2024-02-23', '29: 2024-02-28', '30: 2024-03-08', '31: 2024-12-26', '32: 1994-07-02', '33: 1997-08-13', '34: 1997-11-16', '35: 2021-02-20', '36: 2017-01-31', '37: 2018-10-10', '38: 2018-04-15', '39: 2018-01-28', '40: 2016-10-05', '41: 2016-01-28', '42: 2015-11-04', '43: 2015-03-27', '44: 2015-03-16', '45: 2011-12-07', 'Count']
['2000-03-11 14:06:56', "(Venus,327.658,(r)) (H3,207.722,(d)) (trine,3.83')", "(Saturn,43.348,(r)) (H4,223.404,(c)) (opposition,3.37')", '2', '3', '4', "(H1,127.500,(r)) (Uranus,307.323,(c)) (opposition,10.60')", '6', "(H9,22.446,(r)) (Jupiter,22.344,(c)) (conjunction,6.11')", '8', '9', '10', '11', '12', '13', "(Neptune,305.691,(r)) (H10,35.642,(c)) (square,2.95')", '15', '16', '17', '18', "(Saturn,43.348,(r)) (H9,43.355,(d)) (conjunction,0.41')", '20', '21', "(Mercury,333.343,(r)) (H1,153.284,(d)) (opposition,3.54')", '23', '24', '25', '26', '27', "(Venus,327.658,(r)) (H10,27.685,(c)) (sextile,1.59')", "(Venus,327.658,(r)) (H4,207.671,(c)) (trine,0.74')", "(Venus,327.658,(r)) (H10,27.645,(c)) (sextile,0.81')\n(Uranus,318.712,(r)) (H6,258.677,(c)) (sextile,2.14')", "(H3,202.446,(r)) (Moon,82.513,(d)) (trine,4.06')", "(H1,127.500,(r)) (Mean_Node,127.531,(d)) (conjunction,1.84')\n(Mean_Node,121.329,(r)) (H1,121.234,(c)) (conjunction,5.72')\n(POF,195.230,(r)) (Mars,15.151,(c)) (opposition,4.74')", '33', '34', '35', "(Venus,327.658,(r)) (H1,147.625,(d)) (opposition,2.00')\n(Jupiter,34.766,(r)) (H10,34.945,(c)) (conjunction,10.76')", "(H3,202.446,(r)) (Mean_Node,142.475,(d)) (sextile,1.78')\n(POF,195.230,(r)) (Jupiter,15.085,(c)) (opposition,8.70')", '38', '39', '40', '41', '42', '43', '44', "(H9,22.446,(r)) (Jupiter,22.613,(c)) (conjunction,10.04')", 20]
['2000-03-11 14:27:28', "(Mean_Node,121.328,(r)) (H4,241.248,(d)) (trine,4.83')", '1', '2', '3', '4', '5', '6', "(Jupiter,34.769,(r)) (POF,214.846,(d)) (opposition,4.64')", "(H10,56.761,(r)) (Saturn,56.721,(d)) (conjunction,2.42')", "(POF,201.390,(r)) (Jupiter,21.457,(c)) (opposition,4.05')\n(H1,133.474,(r)) (Venus,313.624,(c)) (opposition,9.01')", "(Moon,59.240,(r)) (H1,119.260,(c)) (sextile,1.24')\n(POF,201.390,(r)) (Jupiter,21.372,(c)) (opposition,1.05')\n(H1,133.474,(r)) (Venus,313.537,(c)) (opposition,3.77')", "(Saturn,43.349,(r)) (H10,43.359,(c)) (conjunction,0.58')", '12', '13', '14', '15', '16', "(POF,201.390,(r)) (Mean_Node,141.464,(d)) (sextile,4.49')", '18', "(Uranus,318.713,(r)) (H9,48.784,(d)) (square,4.26')", '20', '21', "(Neptune,305.691,(r)) (H10,35.743,(c)) (square,3.11')", '23', '24', "(Jupiter,34.769,(r)) (H10,34.854,(c)) (conjunction,5.13')", '26', '27', "(H2,172.973,(r)) (Uranus,292.945,(c)) (trine,1.66')", '29', '30', '31', '32', "(Moon,59.240,(r)) (H4,239.215,(d)) (opposition,1.49')", "(Uranus,318.713,(r)) (POF,198.730,(c)) (trine,1.02')", "(Venus,327.676,(r)) (H8,327.513,(c)) (conjunction,9.80')", '36', '37', '38', '39', '40', '41', '42', "(H1,133.474,(r)) (Mercury,313.520,(c)) (opposition,2.77')", "(H1,133.474,(r)) (Mercury,313.554,(c)) (opposition,4.82')", "(Venus,327.676,(r)) (H1,147.712,(d)) (opposition,2.19')", 20]
['2000-03-11 06:48:56', "(POF,90.138,(r)) (H3,90.092,(d)) (conjunction,2.80')\n(H3,85.828,(r)) (POF,85.873,(c)) (conjunction,2.68')", "(Neptune,305.682,(r)) (H4,125.518,(d)) (opposition,9.86')", '2', "(H4,117.448,(r)) (Neptune,297.309,(c)) (opposition,8.36')", '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', "(Pluto,252.897,(r)) (POF,72.854,(c)) (opposition,2.61')", '20', '21', '22', '23', '24', '25', "(H1,26.366,(r)) (Uranus,296.402,(c)) (square,2.18')", "(H1,26.366,(r)) (Uranus,296.364,(c)) (square,0.08')", "(H2,55.341,(r)) (Jupiter,55.367,(d)) (conjunction,1.55')", '29', '30', "(H10,297.448,(r)) (Mercury,357.489,(d)) (sextile,2.48')\n(Jupiter,34.704,(r)) (H10,274.659,(c)) (trine,2.67')", "(Mean_Node,121.345,(r)) (H1,31.310,(d)) (square,2.11')\n(H1,26.366,(r)) (Mars,26.309,(d)) (conjunction,3.42')\n(Mars,21.290,(r)) (H1,21.395,(c)) (conjunction,6.27')", '33', '34', "(POF,90.138,(r)) (Pluto,270.291,(d)) (opposition,9.14')", '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', 14]
['2000-03-11 10:25:59', '0', '1', '2', '3', '4', '5', '6', '7', "(H3,138.964,(r)) (Neptune,318.825,(d)) (opposition,8.32')\n(H3,138.964,(r)) (Mercury,319.012,(c)) (opposition,2.86')", "(H9,318.964,(r)) (Mercury,318.909,(c)) (conjunction,3.27')", "(H9,318.964,(r)) (Neptune,319.015,(d)) (conjunction,3.08')\n(Neptune,305.687,(r)) (H9,305.785,(c)) (conjunction,5.91')\n(H9,318.964,(r)) (Mercury,318.830,(c)) (conjunction,8.03')", '11', '12', '13', "(H10,353.389,(r)) (Pluto,263.324,(d)) (square,3.89')", "(Jupiter,34.735,(r)) (H10,334.820,(c)) (sextile,5.12')", '16', '17', "(Mercury,333.397,(r)) (H10,333.451,(c)) (conjunction,3.19')", "(H10,353.389,(r)) (Mercury,353.535,(d)) (conjunction,8.75')", '20', '21', '22', '23', "(Moon,56.889,(r)) (H3,116.824,(c)) (sextile,3.93')", "(H1,73.607,(r)) (Jupiter,13.587,(c)) (sextile,1.23')", '26', '27', '28', '29', '30', "(Venus,327.469,(r)) (H10,327.290,(c)) (conjunction,10.73')", '32', '33', '34', "(Neptune,305.687,(r)) (H8,305.794,(d)) (conjunction,6.42')", "(H3,138.964,(r)) (Mean_Node,139.095,(d)) (conjunction,7.85')", '37', '38', "(H1,73.607,(r)) (Mercury,313.565,(c)) (trine,2.51')", "(H3,138.964,(r)) (Jupiter,19.043,(c)) (trine,4.77')", "(Venus,327.469,(r)) (H1,87.517,(d)) (trine,2.91')", '42', '43', '44', '45', 18]
['2000-03-11 08:15:44', '0', '1', "(H10,318.847,(r)) (Venus,318.935,(c)) (conjunction,5.30')", '3', '4', '5', "(H1,45.394,(r)) (Moon,45.324,(c)) (conjunction,4.20')", "(Moon,55.623,(r)) (H1,55.591,(d)) (conjunction,1.90')", '8', '9', '10', '11', "(Mercury,333.431,(r)) (H7,213.343,(c)) (trine,5.27')\n(H4,138.847,(r)) (Mercury,318.821,(c)) (opposition,1.55')", '13', "(Neptune,305.684,(r)) (POF,125.704,(d)) (opposition,1.22')\n(POF,109.950,(r)) (Neptune,290.124,(c)) (opposition,10.43')", '15', '16', "(Mean_Node,121.342,(r)) (H4,121.353,(c)) (conjunction,0.69')", '18', '19', '20', '21', "(Mercury,333.431,(r)) (H1,63.524,(d)) (square,5.59')", '23', '24', '25', '26', '27', "(Moon,55.623,(r)) (H10,295.685,(c)) (trine,3.78')", "(Moon,55.623,(r)) (H4,115.673,(c)) (sextile,3.01')", "(Moon,55.623,(r)) (H10,295.649,(c)) (trine,1.61')", '31', '32', "(Saturn,43.325,(r)) (H1,43.193,(c)) (conjunction,7.89')", '34', '35', '36', '37', '38', "(H3,106.030,(r)) (Venus,346.069,(d)) (trine,2.35')", '40', "(Mean_Node,121.342,(r)) (H3,121.303,(d)) (conjunction,2.35')", '42', '43', '44', '45', 15]
['2000-03-11 08:47:52', '0', "(Neptune,305.685,(r)) (POF,125.561,(d)) (opposition,7.43')\n(POF,117.199,(r)) (Neptune,297.321,(c)) (opposition,7.36')", '2', '3', '4', '5', '6', '7', '8', '9', '10', "(Saturn,43.327,(r)) (H10,313.306,(c)) (square,1.27')", '12', "(Pluto,252.897,(r)) (H4,162.989,(d)) (square,5.53')", "(H10,327.122,(r)) (Saturn,57.115,(d)) (square,0.45')", '15', '16', '17', "(H1,52.352,(r)) (Mercury,352.365,(d)) (sextile,0.79')", '19', "(Neptune,305.685,(r)) (H1,35.746,(c)) (square,3.71')", "(H4,147.122,(r)) (Neptune,327.266,(d)) (opposition,8.65')", "(Uranus,318.701,(r)) (POF,138.746,(d)) (opposition,2.70')", "(Uranus,318.701,(r)) (POF,138.850,(d)) (opposition,8.93')", "(Mercury,333.423,(r)) (H3,93.453,(c)) (trine,1.79')", "(Mercury,333.423,(r)) (H1,33.346,(c)) (sextile,4.63')\n(POF,117.199,(r)) (Uranus,297.186,(c)) (opposition,0.73')", '26', '27', '28', "(H4,147.122,(r)) (Sun,327.082,(c)) (opposition,2.40')", '30', "(Uranus,318.701,(r)) (H3,138.790,(d)) (opposition,5.33')\n(H3,113.785,(r)) (Venus,353.831,(d)) (trine,2.72')", '32', "(H4,147.122,(r)) (Moon,57.031,(d)) (square,5.48')", "(Moon,55.935,(r)) (H3,116.021,(d)) (sextile,5.16')", "(H4,147.122,(r)) (Neptune,327.135,(d)) (opposition,0.77')", '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', 19]
['2000-03-11 08:08:48', '0', '1', '2', '3', '4', "(H1,43.888,(r)) (Jupiter,43.845,(d)) (conjunction,2.60')\n(Jupiter,34.715,(r)) (H1,34.861,(c)) (conjunction,8.75')\n(Jupiter,34.715,(r)) (H3,94.696,(c)) (sextile,1.15')\n(H10,317.087,(r)) (Venus,317.219,(c)) (conjunction,7.94')", "(Jupiter,34.715,(r)) (H1,34.561,(c)) (conjunction,9.25')", "(Mercury,333.433,(r)) (H9,273.355,(c)) (sextile,4.65')\n(H9,284.381,(r)) (Moon,44.295,(c)) (trine,5.17')", '8', '9', '10', '11', '12', "(H8,253.196,(r)) (Venus,343.208,(d)) (square,0.71')", "(Mean_Node,121.342,(r)) (H10,301.327,(c)) (opposition,0.90')", "(Mean_Node,121.342,(r)) (H3,121.173,(d)) (conjunction,10.18')", '16', "(H3,104.381,(r)) (Mean_Node,104.402,(c)) (conjunction,1.23')", '18', "(H1,43.888,(r)) (Mercury,313.889,(c)) (square,0.03')", '20', '21', '22', '23', '24', '25', '26', '27', "(H2,73.196,(r)) (Jupiter,13.282,(c)) (sextile,5.18')", '29', '30', "(H3,104.381,(r)) (Uranus,344.463,(d)) (trine,4.90')", '32', '33', '34', '35', '36', "(Venus,327.351,(r)) (H3,87.387,(c)) (trine,2.14')", "(H3,104.381,(r)) (Mean_Node,104.263,(c)) (conjunction,7.11')", "(H3,104.381,(r)) (Mean_Node,104.457,(c)) (conjunction,4.57')", '40', "(Mercury,333.433,(r)) (H10,333.260,(d)) (conjunction,10.35')\n(H1,43.888,(r)) (Venus,343.907,(d)) (sextile,1.12')\n(H10,317.087,(r)) (Mercury,317.090,(c)) (conjunction,0.18')", '42', '43', '44', "(Moon,55.555,(r)) (H9,295.526,(d)) (trine,1.77')", 21]
['2000-03-11 13:13:11', "(Mercury,333.356,(r)) (H4,213.415,(c)) (trine,3.57')\n(Mean_Node,121.331,(r)) (H3,181.393,(c)) (sextile,3.72')", '1', "(H3,186.851,(r)) (Moon,66.916,(d)) (trine,3.86')", '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Mars,21.489,(r)) (H10,21.499,(c)) (conjunction,0.63')", '15', '16', '17', "(Uranus,318.710,(r)) (H10,18.737,(c)) (sextile,1.59')", "(POF,180.105,(r)) (Mars,0.283,(c)) (opposition,10.68')", "(POF,180.105,(r)) (Mars,0.028,(c)) (opposition,4.57')", '21', '22', '23', "(H10,38.216,(r)) (Moon,38.348,(c)) (conjunction,7.91')", "(H9,6.851,(r)) (Mercury,306.765,(c)) (sextile,5.19')", '26', '27', '28', '29', '30', "(Jupiter,34.758,(r)) (H3,214.743,(d)) (opposition,0.93')\n(H1,112.861,(r)) (Uranus,292.718,(c)) (opposition,8.58')", "(H10,38.216,(r)) (Saturn,38.295,(c)) (conjunction,4.75')", "(Neptune,305.690,(r)) (H4,215.607,(c)) (square,5.00')", '34', "(H8,329.931,(r)) (Neptune,329.894,(d)) (conjunction,2.22')\n(H1,112.861,(r)) (Saturn,22.785,(c)) (square,4.55')", '36', "(Jupiter,34.758,(r)) (H1,94.844,(c)) (sextile,5.15')", '38', '39', '40', "(H10,38.216,(r)) (Uranus,338.260,(d)) (sextile,2.60')", '42', '43', '44', '45', 17]
['2000-03-11 13:08:39', '0', '1', '2', '3', '4', '5', '6', "(H9,5.521,(r)) (Sun,5.549,(d)) (conjunction,1.65')", '8', '9', '10', '11', "(Mars,21.486,(r)) (H3,201.563,(d)) (opposition,4.59')", "(H8,328.574,(r)) (Saturn,58.512,(d)) (square,3.71')\n(Mars,21.486,(r)) (H4,201.337,(c)) (opposition,8.93')", '14', "(Jupiter,34.758,(r)) (H1,94.765,(c)) (sextile,0.47')", '16', '17', '18', '19', "(Mars,21.486,(r)) (POF,201.481,(d)) (opposition,0.30')", '21', '22', '23', "(Moon,58.472,(r)) (H10,58.452,(d)) (conjunction,1.21')", "(POF,178.889,(r)) (Mercury,358.812,(d)) (opposition,4.63')\n(Mercury,333.357,(r)) (POF,153.214,(c)) (opposition,8.55')", '26', '27', '28', '29', '30', "(POF,178.889,(r)) (Venus,358.752,(d)) (opposition,8.19')", "(Mean_Node,121.331,(r)) (H10,31.241,(c)) (square,5.41')", '33', "(POF,178.889,(r)) (Mean_Node,118.879,(c)) (sextile,0.56')", "(Venus,327.608,(r)) (H4,237.626,(d)) (square,1.06')", '36', '37', '38', '39', "(H1,111.686,(r)) (Jupiter,51.643,(d)) (sextile,2.57')", '41', '42', '43', "(H10,37.051,(r)) (Uranus,337.129,(d)) (sextile,4.70')", '45', 15]
['2000-03-11 09:21:04', '0', '1', '2', '3', '4', "(H3,122.030,(r)) (Sun,2.036,(d)) (trine,0.37')", '6', '7', "(H3,122.030,(r)) (Saturn,31.967,(c)) (square,3.76')", '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', "(Saturn,43.329,(r)) (H1,43.190,(c)) (conjunction,8.32')", '20', '21', '22', '23', "(Venus,327.413,(r)) (POF,147.412,(d)) (opposition,0.08')", '25', '26', '27', '28', "(Mean_Node,121.340,(r)) (H4,181.391,(d)) (sextile,3.11')", '30', '31', '32', "(Venus,327.413,(r)) (H1,57.334,(c)) (square,4.77')", "(Mercury,333.414,(r)) (H4,153.449,(c)) (opposition,2.06')", '35', "(Uranus,318.702,(r)) (H10,318.570,(c)) (conjunction,7.94')\n(H3,122.030,(r)) (Uranus,302.087,(c)) (opposition,3.42')", '37', '38', '39', '40', "(H10,335.865,(r)) (Uranus,335.760,(d)) (conjunction,6.24')", '42', '43', "(H10,335.865,(r)) (Sun,335.694,(c)) (conjunction,10.21')", '45', 11]
['2000-03-11 10:28:31', '0', '1', '2', '3', '4', '5', '6', "(H9,319.648,(r)) (Mercury,319.604,(c)) (conjunction,2.64')", "(Mercury,333.397,(r)) (H3,153.335,(d)) (opposition,3.72')", "(Mercury,333.397,(r)) (H9,333.445,(d)) (conjunction,2.86')", "(Mercury,333.397,(r)) (H9,333.530,(d)) (conjunction,7.98')", '11', '12', '13', "(H8,285.433,(r)) (Mean_Node,105.502,(c)) (opposition,4.09')", "(H3,139.648,(r)) (Mean_Node,139.794,(d)) (conjunction,8.80')", '16', "(Mean_Node,121.337,(r)) (POF,121.510,(c)) (conjunction,10.39')\n(Mean_Node,121.337,(r)) (H3,121.252,(c)) (conjunction,5.13')", '18', '19', "(Mercury,333.397,(r)) (H10,333.503,(c)) (conjunction,6.36')", '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', "(H10,354.080,(r)) (Uranus,294.008,(c)) (sextile,4.36')", "(H1,74.162,(r)) (Pluto,254.179,(d)) (opposition,1.02')", '33', '34', '35', '36', '37', '38', "(Mean_Node,121.337,(r)) (H3,121.311,(c)) (conjunction,1.56')", '40', "(H3,139.648,(r)) (Jupiter,19.690,(c)) (trine,2.54')", '42', '43', '44', "(POF,139.918,(r)) (Mercury,319.860,(c)) (opposition,3.46')", 14]
['2000-03-11 06:40:16', "(POF,88.138,(r)) (H3,88.101,(d)) (conjunction,2.24')\n(Sun,351.000,(r)) (H4,110.982,(c)) (trine,1.11')\n(H3,83.846,(r)) (POF,83.880,(c)) (conjunction,2.03')", '1', '2', '3', "(H7,204.443,(r)) (Mercury,324.442,(c)) (trine,0.09')", '5', '6', "(Jupiter,34.702,(r)) (H1,34.847,(d)) (conjunction,8.68')\n(Jupiter,34.702,(r)) (H9,274.681,(d)) (trine,1.27')", '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', "(H7,204.443,(r)) (Saturn,24.315,(c)) (opposition,7.72')", '22', '23', '24', '25', '26', '27', "(H10,295.380,(r)) (Jupiter,55.440,(d)) (trine,3.59')", "(H4,115.380,(r)) (Jupiter,55.452,(d)) (sextile,4.29')\n(Mercury,333.456,(r)) (H4,93.412,(c)) (trine,2.63')", "(H10,295.380,(r)) (Jupiter,55.473,(d)) (trine,5.58')", '31', '32', '33', '34', "(H1,24.443,(r)) (Saturn,24.426,(c)) (conjunction,1.03')", '36', '37', '38', '39', '40', '41', '42', '43', '44', "(Jupiter,34.702,(r)) (H1,34.635,(d)) (conjunction,4.08')", 13]
['2000-03-11 13:49:35', '0', '1', '2', '3', "(Venus,327.643,(r)) (H3,207.597,(d)) (trine,2.78')", '5', '6', "(Moon,58.871,(r)) (H10,59.005,(d)) (conjunction,8.04')\n(H10,47.434,(r)) (Jupiter,47.471,(d)) (conjunction,2.21')\n(H9,17.462,(r)) (Mercury,317.466,(c)) (sextile,0.25')", '8', "(Jupiter,34.764,(r)) (H10,34.747,(c)) (conjunction,1.01')\n(H10,47.434,(r)) (Moon,47.519,(c)) (conjunction,5.13')", "(Jupiter,34.764,(r)) (H10,34.669,(c)) (conjunction,5.69')\n(H10,47.434,(r)) (Moon,47.446,(c)) (conjunction,0.71')", '11', "(Uranus,318.712,(r)) (H7,318.684,(d)) (conjunction,1.68')\n(Mercury,333.347,(r)) (H4,213.363,(c)) (trine,0.97')\n(Mean_Node,121.330,(r)) (H3,181.334,(c)) (sextile,0.26')", '13', "(Sun,351.298,(r)) (POF,171.179,(c)) (opposition,7.12')", '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', "(H10,47.434,(r)) (Mars,47.258,(d)) (conjunction,10.55')", "(H10,47.434,(r)) (Mars,47.300,(d)) (conjunction,8.02')", '28', '29', '30', "(H1,122.626,(r)) (Mercury,2.670,(d)) (trine,2.62')", '32', "(H1,122.626,(r)) (Neptune,302.673,(c)) (opposition,2.83')", '34', '35', '36', '37', '38', '39', "(H3,197.462,(r)) (Jupiter,17.464,(c)) (opposition,0.14')", '41', "(Jupiter,34.764,(r)) (H3,214.865,(d)) (opposition,6.11')", "(H1,122.626,(r)) (Uranus,302.501,(c)) (opposition,7.48')", "(H1,122.626,(r)) (Uranus,302.533,(c)) (opposition,5.56')", "(Moon,58.871,(r)) (H10,58.771,(d)) (conjunction,6.00')", 21]
['2000-03-11 07:46:39', "(POF,103.360,(r)) (H3,103.539,(d)) (conjunction,10.79')\n(H3,99.168,(r)) (POF,98.998,(c)) (conjunction,10.16')", '1', '2', "(Mean_Node,121.343,(r)) (H7,211.436,(c)) (square,5.57')", '4', '5', '6', '7', '8', "(Sun,351.046,(r)) (H9,291.024,(d)) (sextile,1.35')", "(Sun,351.046,(r)) (H9,291.097,(d)) (sextile,3.03')", '11', "(Sun,351.046,(r)) (H7,231.051,(d)) (trine,0.32')", '13', '14', '15', '16', '17', '18', '19', '20', '21', "(Mars,21.320,(r)) (H10,291.243,(c)) (square,4.59')", '23', '24', '25', "(H3,99.168,(r)) (Mean_Node,99.051,(c)) (conjunction,6.98')", "(H3,99.168,(r)) (Mean_Node,99.014,(c)) (conjunction,9.23')", '28', '29', "(H6,193.324,(r)) (Jupiter,13.455,(c)) (opposition,7.85')", '31', '32', '33', '34', '35', "(Moon,55.340,(r)) (H10,295.375,(c)) (trine,2.11')", '37', '38', "(H1,39.066,(r)) (Moon,38.937,(c)) (conjunction,7.71')", "(H10,311.529,(r)) (Venus,311.439,(c)) (conjunction,5.42')", "(Venus,327.332,(r)) (H10,327.447,(d)) (conjunction,6.93')", "(Venus,327.332,(r)) (H10,327.209,(d)) (conjunction,7.38')", '43', '44', '45', 15]
['2000-03-11 10:23:51', '0', '1', "(POF,138.854,(r)) (Venus,318.709,(c)) (opposition,8.71')", '3', "(H3,138.389,(r)) (Venus,318.429,(c)) (opposition,2.39')", '5', '6', '7', "(POF,138.854,(r)) (Neptune,318.814,(d)) (opposition,2.39')\n(Neptune,305.687,(r)) (POF,125.866,(c)) (opposition,10.79')", "(POF,138.854,(r)) (Mercury,318.931,(c)) (opposition,4.62')", "(POF,138.854,(r)) (Mercury,318.851,(c)) (opposition,0.15')", '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', "(Venus,327.467,(r)) (H10,327.595,(c)) (conjunction,7.71')", "(Venus,327.467,(r)) (H4,147.581,(c)) (opposition,6.87')", "(Venus,327.467,(r)) (H10,327.556,(c)) (conjunction,5.34')", '31', '32', '33', '34', '35', '36', "(H10,352.808,(r)) (Mercury,352.831,(d)) (conjunction,1.38')", '38', '39', "(Mean_Node,121.337,(r)) (H3,121.437,(c)) (conjunction,5.99')", '41', '42', "(Jupiter,34.734,(r)) (H3,154.755,(d)) (trine,1.23')", "(Jupiter,34.734,(r)) (H3,154.721,(d)) (trine,0.79')", '45', 13]
['2000-03-11 06:30:00', "(POF,85.763,(r)) (H3,85.748,(d)) (conjunction,0.93')\n(H3,81.500,(r)) (POF,81.511,(c)) (conjunction,0.62')", '1', '2', "(Mean_Node,121.346,(r)) (H4,121.258,(d)) (conjunction,5.26')\n(H4,112.945,(r)) (Mean_Node,113.105,(c)) (conjunction,9.61')", "(Mean_Node,121.346,(r)) (H4,121.425,(d)) (conjunction,4.73')\n(H4,112.945,(r)) (Mean_Node,112.943,(c)) (conjunction,0.10')", '5', '6', '7', '8', '9', '10', '11', "(H7,202.161,(r)) (Jupiter,22.143,(c)) (opposition,1.12')", '13', '14', '15', '16', '17', '18', '19', '20', '21', "(Saturn,43.318,(r)) (H10,313.328,(d)) (square,0.63')", '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', "(Uranus,318.696,(r)) (H8,228.788,(c)) (square,5.51')", '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', 9]
['2000-03-11 14:18:40', "(Moon,59.154,(r)) (H4,239.130,(d)) (opposition,1.44')", "(Mean_Node,121.329,(r)) (H7,301.438,(c)) (opposition,6.56')", "(H3,205.786,(r)) (Jupiter,25.820,(c)) (opposition,2.03')", "(H7,310.887,(r)) (Mean_Node,131.012,(d)) (opposition,7.51')", '4', '5', '6', '7', '8', '9', '10', '11', '12', "(H1,130.887,(r)) (Venus,310.819,(c)) (opposition,4.06')", '14', "(H1,130.887,(r)) (Mercury,310.867,(c)) (opposition,1.15')", '16', '17', "(H10,54.616,(r)) (Jupiter,54.572,(d)) (conjunction,2.65')", "(Neptune,305.691,(r)) (H10,35.639,(c)) (square,3.14')", "(Pluto,252.898,(r)) (H10,72.841,(d)) (opposition,3.40')", '21', "(Uranus,318.713,(r)) (H9,48.678,(d)) (square,2.06')\n(H9,25.786,(r)) (Uranus,295.706,(c)) (square,4.82')", '23', '24', "(H1,130.887,(r)) (Jupiter,10.905,(c)) (trine,1.11')", '26', '27', '28', "(Sun,351.318,(r)) (H3,231.377,(d)) (trine,3.56')", '30', '31', '32', "(Mars,21.522,(r)) (POF,201.680,(d)) (opposition,9.47')\n(POF,198.723,(r)) (Mars,18.690,(c)) (opposition,1.95')", "(H3,205.786,(r)) (Venus,325.801,(c)) (trine,0.88')", '35', '36', '37', "(Sun,351.318,(r)) (H1,111.390,(c)) (trine,4.30')", '39', '40', '41', "(H1,130.887,(r)) (Sun,10.823,(d)) (trine,3.82')", "(POF,198.723,(r)) (Jupiter,18.900,(c)) (opposition,10.67')\n(H1,130.887,(r)) (Venus,311.006,(c)) (opposition,7.14')", "(H1,130.887,(r)) (Venus,311.039,(c)) (opposition,9.16')", "(H1,130.887,(r)) (Moon,70.871,(d)) (sextile,0.92')", 22]
['2000-03-11 08:50:07', "(H4,147.713,(r)) (Mercury,327.836,(c)) (opposition,7.37')", '1', '2', '3', "(Uranus,318.701,(r)) (H4,138.574,(c)) (opposition,7.63')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', "(H3,114.340,(r)) (Pluto,234.338,(c)) (trine,0.11')", '18', '19', '20', "(H7,232.842,(r)) (Mean_Node,142.839,(d)) (square,0.16')", "(H10,327.713,(r)) (Neptune,327.565,(d)) (conjunction,8.90')\n(H9,294.340,(r)) (Saturn,24.256,(c)) (square,5.02')", '23', '24', "(H9,294.340,(r)) (Jupiter,54.364,(d)) (trine,1.45')", '26', '27', '28', "(Uranus,318.701,(r)) (H3,138.525,(d)) (opposition,10.58')", '30', '31', '32', '33', "(H7,232.842,(r)) (Moon,52.875,(c)) (opposition,1.98')", '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', 9]
['2000-03-11 05:36:39', '0', '1', '2', '3', '4', "(Uranus,318.694,(r)) (H3,78.763,(d)) (trine,4.11')", '6', '7', "(Mars,21.253,(r)) (H1,21.301,(d)) (conjunction,2.89')", '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', "(Moon,54.077,(r)) (POF,54.252,(c)) (conjunction,10.50')", "(H3,69.316,(r)) (Moon,69.170,(d)) (conjunction,8.78')\n(Moon,54.077,(r)) (H3,53.935,(c)) (conjunction,8.49')", "(H1,10.232,(r)) (Venus,310.160,(c)) (sextile,4.31')", "(H1,10.232,(r)) (Moon,70.238,(d)) (sextile,0.37')", '39', "(Moon,54.077,(r)) (H3,54.233,(c)) (conjunction,9.39')", '41', '42', '43', '44', '45', 8]
