['Time', '0: 2009-03-19', '1: 2011-12-07', '2: 2012-03-06', '3: 2012-12-12', '4: 2013-12-12', '5: 2014-03-24', '6: 2015-05-27', '7: 2016-01-26', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-01-03', '16: 2022-05-25', '17: 2024-01-11', '18: 2024-03-08', '19: 2025-06-23', '20: 2025-07-24', '21: 2025-07-25', 'Count']
['2000-03-11 14:06:56', "(Pluto,252.898,(r)) (H3,192.818,(c)) (sextile,4.80')\n(Pluto,252.854,(c)) (H3,192.818,(c)) (sextile,2.21')", '1', "(Jupiter,34.766,(r)) (H9,34.722,(p)) (conjunction,2.65')", '3', '4', '5', "(H8,346.482,(r)) (Venus,346.445,(p)) (conjunction,2.25')\n(Moon,59.040,(r)) (H8,329.087,(c)) (square,2.85')", "(Sun,351.310,(r)) (H1,111.476,(c)) (trine,9.97')", "(Moon,275.087,(p)) (H8,5.216,(p)) (square,7.75')", '9', '10', '11', '12', '13', '14', '15', "(H1,127.500,(r)) (POF,127.648,(p)) (conjunction,8.91')\n(Jupiter,30.579,(c)) (H10,30.563,(c)) (conjunction,0.95')", '17', "(POF,195.230,(r)) (Sun,15.098,(p)) (opposition,7.89')\n(Moon,12.814,(p)) (H10,72.655,(p)) (sextile,9.51')", '19', '20', '21', 11]
['2000-03-11 14:27:28', "(H3,208.272,(r)) (Mars,28.207,(p)) (opposition,3.89')\n(Uranus,318.713,(r)) (H3,198.771,(c)) (trine,3.48')", "(H9,28.272,(r)) (Moon,268.007,(c)) (trine,15.90')", '2', "(Venus,327.676,(r)) (H1,147.812,(p)) (opposition,8.16')", '4', '5', "(H8,352.973,(r)) (Moon,263.400,(p)) (square,25.65')", "(Moon,271.309,(p)) (H1,151.473,(p)) (trine,9.82')", '8', "(Mercury,333.338,(r)) (H1,153.417,(p)) (opposition,4.77')", '10', '11', '12', "(Mars,21.527,(r)) (H7,291.666,(c)) (square,8.33')", "(Mercury,345.082,(p)) (H10,75.185,(p)) (square,6.17')\n(Mars,21.527,(r)) (H1,111.408,(c)) (square,7.13')", '15', '16', '17', "(H1,133.474,(r)) (Moon,13.010,(p)) (trine,27.86')", "(Uranus,318.713,(r)) (H10,78.530,(p)) (trine,10.98')", "(Mean_Node,122.672,(c)) (H10,32.727,(c)) (square,3.33')", "(Uranus,318.713,(r)) (H10,78.604,(p)) (trine,6.54')", 14]
['2000-03-11 06:48:56', "(Mercury,333.454,(r)) (H3,93.398,(p)) (trine,3.33')\n(Mercury,333.454,(r)) (H7,213.630,(p)) (trine,10.57')\n(Mercury,333.454,(r)) (POF,333.483,(c)) (conjunction,1.77')\n(Uranus,318.219,(c)) (H3,78.209,(c)) (trine,0.63')", "(Mercury,335.749,(p)) (H1,35.797,(p)) (sextile,2.88')\n(Mercury,335.749,(p)) (H9,275.686,(p)) (sextile,3.77')", "(Mercury,335.918,(p)) (H1,35.993,(p)) (sextile,4.53')\n(Mercury,335.918,(p)) (H9,275.894,(p)) (sextile,1.42')", "(Mercury,336.469,(p)) (H1,36.605,(p)) (sextile,8.18')\n(Mercury,336.469,(p)) (H9,276.543,(p)) (sextile,4.47')", '4', "(Mercury,337.463,(p)) (H3,97.624,(p)) (trine,9.65')\n(Mercury,337.463,(p)) (H7,217.621,(p)) (trine,9.47')\n(Jupiter,37.688,(p)) (H3,97.624,(p)) (sextile,3.80')\n(Jupiter,37.688,(p)) (H7,217.621,(p)) (opposition,3.99')", "(Moon,222.489,(c)) (H8,222.527,(c)) (conjunction,2.28')", "(Mercury,339.056,(p)) (H1,39.083,(p)) (sextile,1.61')\n(Mercury,339.056,(p)) (H3,99.186,(p)) (trine,7.80')", '8', "(Mercury,340.616,(p)) (H3,100.579,(p)) (trine,2.20')", '10', "(Mercury,341.046,(p)) (H3,100.946,(p)) (trine,6.02')", '12', "(Saturn,43.319,(r)) (H7,223.195,(p)) (opposition,7.44')", "(Saturn,43.319,(r)) (H1,43.401,(p)) (conjunction,4.90')", '15', "(Moon,344.733,(p)) (H9,284.603,(p)) (sextile,7.79')\n(Moon,127.112,(c)) (H9,246.785,(c)) (trine,19.65')\n(Mercury,346.178,(c)) (POF,166.154,(c)) (opposition,1.44')", "(Uranus,318.697,(r)) (H10,318.833,(p)) (conjunction,8.15')", '18', "(H1,26.366,(r)) (Moon,26.584,(p)) (conjunction,13.12')", '20', '21', 26]
['2000-03-11 10:25:59', "(Mars,28.084,(p)) (H3,147.981,(p)) (trine,6.17')", '1', '2', "(POF,139.340,(r)) (Uranus,319.322,(p)) (opposition,1.11')\n(H1,73.607,(r)) (Moon,254.004,(c)) (opposition,23.79')", '4', "(POF,139.340,(r)) (Uranus,319.379,(p)) (opposition,2.34')", '6', '7', '8', '9', '10', "(H4,173.389,(r)) (Moon,293.793,(p)) (trine,24.23')", '12', '13', '14', "(Moon,341.631,(p)) (H3,161.157,(p)) (opposition,28.47')", '16', '17', "(Mercury,333.397,(r)) (H1,93.245,(p)) (trine,9.15')", '19', '20', '21', 7]
['2000-03-11 08:15:44', '0', '1', "(Uranus,318.700,(r)) (POF,318.683,(c)) (conjunction,1.01')\n(H10,318.847,(r)) (POF,318.683,(c)) (conjunction,9.83')", "(Moon,55.623,(r)) (H1,55.451,(p)) (conjunction,10.31')", '4', "(H7,225.394,(r)) (Mercury,345.341,(c)) (trine,3.17')", "(Venus,327.357,(r)) (H1,57.373,(p)) (square,0.94')", "(Uranus,319.456,(p)) (POF,319.316,(p)) (conjunction,8.44')", "(Mean_Node,122.201,(c)) (H1,32.201,(c)) (square,0.05')", '9', '10', "(Mean_Node,122.292,(c)) (H4,122.224,(c)) (conjunction,4.14')", "(H1,45.394,(r)) (Saturn,45.334,(p)) (conjunction,3.60')", '13', '14', "(H1,45.394,(r)) (Mercury,345.347,(p)) (sextile,2.81')\n(Jupiter,39.437,(p)) (H10,339.617,(p)) (sextile,10.79')\n(Venus,327.357,(r)) (H1,27.476,(c)) (sextile,7.13')", "(H1,45.394,(r)) (Moon,345.518,(p)) (sextile,7.43')\n(H9,286.030,(r)) (Moon,345.518,(p)) (sextile,30.70')\n(H9,286.030,(r)) (Mercury,346.212,(c)) (sextile,10.96')", '17', '18', "(Moon,55.623,(r)) (H10,295.439,(c)) (trine,10.99')", '20', '21', 16]
['2000-03-11 08:47:52', "(Moon,182.469,(p)) (H3,121.958,(p)) (sextile,30.61')\n(Uranus,318.701,(r)) (H4,138.538,(c)) (opposition,9.80')", "(Moon,218.150,(p)) (H10,338.423,(p)) (trine,16.37')\n(Mercury,343.365,(c)) (H9,283.328,(c)) (sextile,2.26')", '2', '3', '4', "(Sun,5.043,(p)) (POF,304.886,(p)) (sextile,9.44')\n(Moon,246.538,(p)) (H3,126.591,(p)) (trine,3.19')\n(Mean_Node,122.084,(c)) (POF,301.905,(c)) (opposition,10.73')", '6', '7', "(Pluto,252.897,(r)) (H10,342.779,(p)) (square,7.07')\n(Pluto,252.861,(p)) (H10,342.779,(p)) (square,4.90')", '9', '10', '11', '12', '13', "(Saturn,43.327,(r)) (H9,313.492,(p)) (square,9.89')\n(Neptune,304.995,(c)) (H1,34.968,(c)) (square,1.61')", "(Jupiter,34.721,(r)) (H1,34.559,(c)) (conjunction,9.70')", '16', "(Saturn,45.870,(p)) (H3,135.910,(p)) (square,2.41')", "(H10,327.122,(r)) (Sun,326.991,(c)) (conjunction,7.87')", '19', '20', '21', 14]
['2000-03-11 08:08:48', "(Sun,351.061,(r)) (H7,231.023,(p)) (trine,2.29')", '1', "(H10,317.087,(r)) (POF,317.109,(c)) (conjunction,1.35')", "(Moon,55.555,(r)) (H9,295.604,(p)) (trine,2.96')\n(Mercury,333.433,(r)) (H1,33.545,(c)) (sextile,6.75')\n(Mercury,333.433,(r)) (H9,273.309,(c)) (sextile,7.42')\n(H9,284.381,(r)) (Mercury,344.319,(c)) (sextile,3.74')", '4', '5', "(Mean_Node,121.342,(r)) (H1,31.510,(c)) (square,10.08')", '7', "(Mean_Node,122.201,(c)) (H10,302.139,(c)) (opposition,3.70')", "(Mercury,333.433,(r)) (H10,333.606,(p)) (conjunction,10.36')", '10', "(Mean_Node,120.392,(p)) (H3,120.282,(p)) (conjunction,6.61')", '12', '13', '14', '15', '16', "(Neptune,305.684,(r)) (H3,125.708,(p)) (opposition,1.44')\n(Mars,38.850,(p)) (H12,38.826,(p)) (conjunction,1.46')\n(H3,104.381,(r)) (Moon,104.117,(c)) (conjunction,15.86')", "(Jupiter,39.930,(p)) (H10,339.883,(p)) (sextile,2.83')", "(H1,43.888,(r)) (Mercury,343.783,(c)) (sextile,6.32')\n(Moon,83.116,(c)) (H1,22.958,(c)) (sextile,9.46')", "(Moon,81.894,(c)) (H3,82.242,(c)) (conjunction,20.92')", "(Moon,81.854,(c)) (H3,82.240,(c)) (conjunction,23.14')", 18]
['2000-03-11 13:13:11', "(POF,180.105,(r)) (Sun,0.254,(p)) (opposition,8.98')\n(Mean_Node,121.809,(c)) (POF,61.902,(c)) (sextile,5.60')", "(Uranus,319.281,(p)) (H9,19.304,(p)) (sextile,1.41')\n(Moon,267.397,(c)) (H10,26.880,(c)) (trine,31.02')", '2', "(H1,112.861,(r)) (Moon,233.169,(p)) (trine,18.53')", "(H3,186.851,(r)) (POF,6.899,(p)) (opposition,2.83')", '5', '6', "(H10,38.216,(r)) (Jupiter,38.153,(p)) (conjunction,3.80')", '8', '9', '10', "(Mercury,347.081,(c)) (H3,167.213,(c)) (opposition,7.91')", '12', '13', '14', "(Moon,136.650,(c)) (H10,16.660,(c)) (trine,0.57')", "(Moon,58.516,(r)) (H10,58.344,(p)) (conjunction,10.36')\n(POF,180.105,(r)) (Venus,300.185,(c)) (trine,4.82')", '17', '18', "(Mercury,333.356,(r)) (H3,213.231,(p)) (trine,7.49')\n(Uranus,318.710,(r)) (H1,138.817,(p)) (opposition,6.41')\n(Jupiter,30.059,(c)) (POF,210.008,(c)) (opposition,3.06')", '20', "(Mercury,333.356,(r)) (H3,213.319,(p)) (trine,2.17')", 15]
['2000-03-11 13:08:39', "(Sun,0.251,(p)) (H7,300.420,(p)) (sextile,10.12')", '1', '2', '3', "(H3,185.521,(r)) (POF,5.583,(p)) (opposition,3.70')", "(H4,217.051,(r)) (Sun,337.205,(c)) (trine,9.26')", '6', "(H10,37.051,(r)) (Moon,217.450,(c)) (opposition,23.95')\n(Moon,217.450,(c)) (H1,97.076,(c)) (trine,22.41')", "(Sun,335.016,(c)) (POF,334.999,(c)) (conjunction,1.00')", '9', '10', "(H3,185.521,(r)) (Venus,305.439,(c)) (trine,4.93')", '12', "(H4,217.051,(r)) (Mars,36.992,(p)) (opposition,3.55')", "(H10,37.051,(r)) (Mars,37.181,(p)) (conjunction,7.81')\n(H9,5.521,(r)) (Mars,5.456,(c)) (conjunction,3.89')", '15', '16', "(Saturn,45.891,(p)) (H1,135.842,(p)) (square,2.97')", '18', "(POF,178.889,(r)) (Venus,358.835,(p)) (opposition,3.21')", '20', "(POF,178.889,(r)) (Venus,358.943,(p)) (opposition,3.28')", 13]
['2000-03-11 09:21:04', '0', "(H10,335.865,(r)) (Mercury,335.821,(p)) (conjunction,2.61')\n(Sun,351.112,(r)) (H9,291.274,(c)) (sextile,9.76')", "(H10,335.865,(r)) (Mercury,335.991,(p)) (conjunction,7.60')\n(Sun,351.112,(r)) (H9,291.050,(c)) (sextile,3.68')\n(Mercury,333.414,(r)) (POF,333.396,(c)) (conjunction,1.09')", "(H9,302.030,(r)) (Mean_Node,122.015,(c)) (opposition,0.87')", '4', '5', "(Moon,260.880,(p)) (H4,170.788,(p)) (square,5.56')", "(H10,335.865,(r)) (Moon,215.457,(c)) (trine,24.47')", '8', "(Uranus,318.702,(r)) (H3,138.645,(p)) (opposition,3.42')\n(POF,352.992,(p)) (H10,353.067,(p)) (conjunction,4.50')\n(Uranus,318.702,(r)) (H10,318.851,(c)) (conjunction,8.92')", "(Uranus,318.702,(r)) (H10,318.832,(c)) (conjunction,7.81')", "(Moon,293.258,(p)) (H4,173.493,(p)) (trine,14.09')", '12', '13', '14', "(Moon,134.306,(c)) (H10,314.687,(c)) (opposition,22.86')", '16', "(Moon,104.850,(c)) (H12,14.470,(c)) (square,22.84')", "(Uranus,318.702,(r)) (H1,78.530,(p)) (trine,10.32')", '19', "(H10,335.865,(r)) (POF,155.812,(c)) (opposition,3.18')\n(Saturn,41.335,(c)) (H10,311.246,(c)) (square,5.37')", '21', 18]
['2000-03-11 10:28:31', '0', '1', '2', "(H1,74.162,(r)) (Moon,254.025,(c)) (opposition,8.24')", '4', '5', '6', '7', '8', "(Sun,8.556,(p)) (POF,8.544,(p)) (conjunction,0.71')", '10', "(H4,174.080,(r)) (Moon,293.814,(p)) (trine,15.97')\n(Mean_Node,122.288,(c)) (H3,122.161,(c)) (conjunction,7.61')", "(H9,319.648,(r)) (Uranus,319.602,(p)) (conjunction,2.74')", '13', "(H9,319.648,(r)) (Uranus,319.690,(p)) (conjunction,2.52')", "(Moon,341.654,(p)) (H3,161.888,(p)) (opposition,14.02')", '16', '17', '18', '19', "(Sun,351.158,(r)) (POF,171.086,(c)) (opposition,4.34')", "(Sun,351.158,(r)) (POF,171.047,(c)) (opposition,6.68')", 9]
