Row 1: {'time': '1935-11-14 07:49:35', 'p_a_allm': 30, 'p_a_min': 23, 'e': 0, 'p_a_maj': 24, 'p_a_conj': 6}
Row 39: {'time': '1935-11-14 11:17:52', 'p_a_allm': 36, 'p_a_min': 20, 'e': 2, 'p_a_maj': 27, 'p_a_conj': 9}
Row 40: {'time': '1935-11-13 23:32:56', 'p_a_allm': 25, 'p_a_min': 26, 'e': 1, 'p_a_maj': 22, 'p_a_conj': 3}
Row 41: {'time': '1935-11-14 07:40:15', 'p_a_allm': 15, 'p_a_min': 25, 'e': 0, 'p_a_maj': 13, 'p_a_conj': 2}
Row 42: {'time': '1935-11-13 21:37:59', 'p_a_allm': 32, 'p_a_min': 24, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 11}
Row 43: {'time': '1935-11-14 11:55:12', 'p_a_allm': 32, 'p_a_min': 31, 'e': 1, 'p_a_maj': 29, 'p_a_conj': 3}
Row 44: {'time': '1935-11-14 01:42:23', 'p_a_allm': 29, 'p_a_min': 19, 'e': 0, 'p_a_maj': 22, 'p_a_conj': 7}
Row 45: {'time': '1935-11-14 11:52:40', 'p_a_allm': 28, 'p_a_min': 29, 'e': 0, 'p_a_maj': 24, 'p_a_conj': 4}
Row 46: {'time': '1935-11-14 01:52:39', 'p_a_allm': 33, 'p_a_min': 20, 'e': 0, 'p_a_maj': 23, 'p_a_conj': 10}
Row 47: {'time': '1935-11-14 17:06:24', 'p_a_allm': 20, 'p_a_min': 30, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 2}
Row 48: {'time': '1935-11-13 22:39:43', 'p_a_allm': 26, 'p_a_min': 26, 'e': 0, 'p_a_maj': 22, 'p_a_conj': 4}
Row 49: {'time': '1935-11-14 17:40:40', 'p_a_allm': 23, 'p_a_min': 22, 'e': 3, 'p_a_maj': 21, 'p_a_conj': 2}
Row 50: {'time': '1935-11-14 10:25:27', 'p_a_allm': 26, 'p_a_min': 24, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 5}
Row 51: {'time': '1935-11-13 21:21:12', 'p_a_allm': 30, 'p_a_min': 26, 'e': 0, 'p_a_maj': 26, 'p_a_conj': 4}
Row 52: {'time': '1935-11-14 15:43:28', 'p_a_allm': 22, 'p_a_min': 21, 'e': 2, 'p_a_maj': 14, 'p_a_conj': 8}
Row 53: {'time': '1935-11-13 21:30:24', 'p_a_allm': 29, 'p_a_min': 26, 'e': 0, 'p_a_maj': 23, 'p_a_conj': 6}
Row 54: {'time': '1935-11-14 19:02:07', 'p_a_allm': 29, 'p_a_min': 22, 'e': 0, 'p_a_maj': 22, 'p_a_conj': 7}
Row 55: {'time': '1935-11-14 15:56:07', 'p_a_allm': 25, 'p_a_min': 27, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 5}
Row 56: {'time': '1935-11-14 12:16:07', 'p_a_allm': 22, 'p_a_min': 21, 'e': 2, 'p_a_maj': 14, 'p_a_conj': 8}
Row 57: {'time': '1935-11-14 16:42:23', 'p_a_allm': 16, 'p_a_min': 23, 'e': 1, 'p_a_maj': 11, 'p_a_conj': 5}
Row 58: {'time': '1935-11-14 11:45:36', 'p_a_allm': 21, 'p_a_min': 32, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 5}
Row 59: {'time': '1935-11-14 15:38:31', 'p_a_allm': 27, 'p_a_min': 27, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 10}
Row 60: {'time': '1935-11-14 15:49:43', 'p_a_allm': 22, 'p_a_min': 33, 'e': 1, 'p_a_maj': 15, 'p_a_conj': 7}
Row 61: {'time': '1935-11-14 12:58:56', 'p_a_allm': 31, 'p_a_min': 29, 'e': 1, 'p_a_maj': 25, 'p_a_conj': 6}
Row 62: {'time': '1935-11-14 07:21:28', 'p_a_allm': 32, 'p_a_min': 21, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 11}
Row 63: {'time': '1935-11-14 14:06:08', 'p_a_allm': 34, 'p_a_min': 31, 'e': 0, 'p_a_maj': 23, 'p_a_conj': 11}
Row 64: {'time': '1935-11-13 21:26:31', 'p_a_allm': 22, 'p_a_min': 21, 'e': 3, 'p_a_maj': 19, 'p_a_conj': 3}
Row 65: {'time': '1935-11-14 07:16:31', 'p_a_allm': 31, 'p_a_min': 19, 'e': 2, 'p_a_maj': 25, 'p_a_conj': 6}
Row 66: {'time': '1935-11-14 14:16:47', 'p_a_allm': 19, 'p_a_min': 24, 'e': 1, 'p_a_maj': 14, 'p_a_conj': 5}
Row 67: {'time': '1935-11-14 02:45:36', 'p_a_allm': 22, 'p_a_min': 22, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 6}
Row 68: {'time': '1935-11-14 12:20:00', 'p_a_allm': 20, 'p_a_min': 26, 'e': 0, 'p_a_maj': 8, 'p_a_conj': 12}
Row 69: {'time': '1935-11-14 03:05:27', 'p_a_allm': 21, 'p_a_min': 20, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 4}
Row 70: {'time': '1935-11-14 07:14:55', 'p_a_allm': 28, 'p_a_min': 23, 'e': 1, 'p_a_maj': 22, 'p_a_conj': 6}
Row 71: {'time': '1935-11-14 17:21:04', 'p_a_allm': 20, 'p_a_min': 19, 'e': 3, 'p_a_maj': 12, 'p_a_conj': 8}
Row 72: {'time': '1935-11-13 21:07:12', 'p_a_allm': 29, 'p_a_min': 24, 'e': 0, 'p_a_maj': 24, 'p_a_conj': 5}
Row 73: {'time': '1935-11-13 23:01:44', 'p_a_allm': 24, 'p_a_min': 21, 'e': 2, 'p_a_maj': 17, 'p_a_conj': 7}
Row 74: {'time': '1935-11-14 02:31:04', 'p_a_allm': 22, 'p_a_min': 32, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 2}
Row 75: {'time': '1935-11-14 13:10:31', 'p_a_allm': 27, 'p_a_min': 29, 'e': 1, 'p_a_maj': 21, 'p_a_conj': 6}
Row 76: {'time': '1935-11-14 16:46:39', 'p_a_allm': 20, 'p_a_min': 33, 'e': 1, 'p_a_maj': 12, 'p_a_conj': 8}
Row 77: {'time': '1935-11-14 12:45:59', 'p_a_allm': 22, 'p_a_min': 22, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 3}
Row 78: {'time': '1935-11-14 15:27:19', 'p_a_allm': 22, 'p_a_min': 26, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 7}
Row 79: {'time': '1935-11-14 17:13:44', 'p_a_allm': 22, 'p_a_min': 20, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 6}
Row 80: {'time': '1935-11-14 10:41:59', 'p_a_allm': 24, 'p_a_min': 24, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 5}
Row 81: {'time': '1935-11-14 09:27:35', 'p_a_allm': 29, 'p_a_min': 16, 'e': 1, 'p_a_maj': 26, 'p_a_conj': 3}
Row 82: {'time': '1935-11-14 15:47:51', 'p_a_allm': 22, 'p_a_min': 30, 'e': 2, 'p_a_maj': 15, 'p_a_conj': 7}
Row 83: {'time': '1935-11-14 11:36:39', 'p_a_allm': 26, 'p_a_min': 28, 'e': 2, 'p_a_maj': 20, 'p_a_conj': 6}
Row 84: {'time': '1935-11-14 12:28:31', 'p_a_allm': 23, 'p_a_min': 26, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 5}
Row 85: {'time': '1935-11-14 11:21:28', 'p_a_allm': 26, 'p_a_min': 27, 'e': 1, 'p_a_maj': 20, 'p_a_conj': 6}
Row 86: {'time': '1935-11-14 16:19:12', 'p_a_allm': 25, 'p_a_min': 21, 'e': 2, 'p_a_maj': 17, 'p_a_conj': 8}
Row 87: {'time': '1935-11-14 17:18:56', 'p_a_allm': 23, 'p_a_min': 22, 'e': 2, 'p_a_maj': 12, 'p_a_conj': 11}
Row 88: {'time': '1935-11-14 05:28:07', 'p_a_allm': 22, 'p_a_min': 23, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 6}
Row 89: {'time': '1935-11-14 12:42:16', 'p_a_allm': 23, 'p_a_min': 27, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 4}
Row 90: {'time': '1935-11-14 11:10:16', 'p_a_allm': 20, 'p_a_min': 26, 'e': 1, 'p_a_maj': 14, 'p_a_conj': 6}
Row 91: {'time': '1935-11-14 05:39:28', 'p_a_allm': 21, 'p_a_min': 18, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 2}
Row 92: {'time': '1935-11-14 05:22:16', 'p_a_allm': 26, 'p_a_min': 18, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 7}
Row 93: {'time': '1935-11-14 19:11:35', 'p_a_allm': 34, 'p_a_min': 24, 'e': 0, 'p_a_maj': 26, 'p_a_conj': 8}
Row 94: {'time': '1935-11-13 21:53:44', 'p_a_allm': 27, 'p_a_min': 24, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 8}
Row 95: {'time': '1935-11-14 16:06:47', 'p_a_allm': 33, 'p_a_min': 29, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 13}
Row 96: {'time': '1935-11-14 01:16:55', 'p_a_allm': 24, 'p_a_min': 20, 'e': 2, 'p_a_maj': 15, 'p_a_conj': 9}
Row 97: {'time': '1935-11-14 02:16:56', 'p_a_allm': 37, 'p_a_min': 24, 'e': 0, 'p_a_maj': 27, 'p_a_conj': 10}
Row 98: {'time': '1935-11-14 03:47:59', 'p_a_allm': 24, 'p_a_min': 21, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 5}
Row 99: {'time': '1935-11-14 09:07:28', 'p_a_allm': 30, 'p_a_min': 26, 'e': 0, 'p_a_maj': 26, 'p_a_conj': 4}
Row 100: {'time': '1935-11-13 23:22:16', 'p_a_allm': 26, 'p_a_min': 25, 'e': 2, 'p_a_maj': 19, 'p_a_conj': 7}
Row 101: {'time': '1935-11-14 14:47:12', 'p_a_allm': 25, 'p_a_min': 19, 'e': 1, 'p_a_maj': 15, 'p_a_conj': 10}
Row 102: {'time': '1935-11-14 14:51:20', 'p_a_allm': 23, 'p_a_min': 22, 'e': 2, 'p_a_maj': 16, 'p_a_conj': 7}
Row 103: {'time': '1935-11-14 08:17:36', 'p_a_allm': 22, 'p_a_min': 27, 'e': 0, 'p_a_maj': 13, 'p_a_conj': 9}
Row 104: {'time': '1935-11-14 11:40:00', 'p_a_allm': 25, 'p_a_min': 32, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 9}
Row 105: {'time': '1935-11-14 06:08:16', 'p_a_allm': 24, 'p_a_min': 21, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 8}
Row 106: {'time': '1935-11-14 02:12:31', 'p_a_allm': 37, 'p_a_min': 23, 'e': 0, 'p_a_maj': 27, 'p_a_conj': 10}
Row 107: {'time': '1935-11-14 04:25:03', 'p_a_allm': 28, 'p_a_min': 22, 'e': 1, 'p_a_maj': 20, 'p_a_conj': 8}
Row 108: {'time': '1935-11-14 19:36:07', 'p_a_allm': 23, 'p_a_min': 29, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 7}
Row 109: {'time': '1935-11-14 14:53:28', 'p_a_allm': 31, 'p_a_min': 22, 'e': 1, 'p_a_maj': 25, 'p_a_conj': 6}
Row 110: {'time': '1935-11-14 02:48:23', 'p_a_allm': 17, 'p_a_min': 20, 'e': 1, 'p_a_maj': 11, 'p_a_conj': 6}
Row 111: {'time': '1935-11-14 14:08:24', 'p_a_allm': 31, 'p_a_min': 31, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 10}
Row 112: {'time': '1935-11-13 22:43:43', 'p_a_allm': 26, 'p_a_min': 25, 'e': 1, 'p_a_maj': 20, 'p_a_conj': 6}
Row 113: {'time': '1935-11-14 20:46:56', 'p_a_allm': 17, 'p_a_min': 30, 'e': 0, 'p_a_maj': 11, 'p_a_conj': 6}
Row 114: {'time': '1935-11-14 08:45:28', 'p_a_allm': 30, 'p_a_min': 23, 'e': 0, 'p_a_maj': 14, 'p_a_conj': 16}
Row 115: {'time': '1935-11-14 01:49:51', 'p_a_allm': 31, 'p_a_min': 19, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 13}
Row 116: {'time': '1935-11-14 09:04:15', 'p_a_allm': 32, 'p_a_min': 22, 'e': 1, 'p_a_maj': 25, 'p_a_conj': 7}
Row 117: {'time': '1935-11-14 13:22:07', 'p_a_allm': 31, 'p_a_min': 24, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 10}
Row 118: {'time': '1935-11-14 00:43:52', 'p_a_allm': 16, 'p_a_min': 22, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 0}
Row 119: {'time': '1935-11-13 22:27:19', 'p_a_allm': 22, 'p_a_min': 30, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 5}
Row 120: {'time': '1935-11-14 09:02:23', 'p_a_allm': 30, 'p_a_min': 23, 'e': 1, 'p_a_maj': 22, 'p_a_conj': 8}
Row 121: {'time': '1935-11-14 12:35:12', 'p_a_allm': 23, 'p_a_min': 28, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 4}
Row 122: {'time': '1935-11-14 13:36:55', 'p_a_allm': 21, 'p_a_min': 28, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 3}
Row 123: {'time': '1935-11-14 16:41:12', 'p_a_allm': 19, 'p_a_min': 26, 'e': 0, 'p_a_maj': 14, 'p_a_conj': 5}
Row 124: {'time': '1935-11-14 10:02:23', 'p_a_allm': 20, 'p_a_min': 21, 'e': 1, 'p_a_maj': 15, 'p_a_conj': 5}
Row 125: {'time': '1935-11-14 12:52:39', 'p_a_allm': 23, 'p_a_min': 21, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 2}
Row 126: {'time': '1935-11-14 07:25:51', 'p_a_allm': 32, 'p_a_min': 24, 'e': 0, 'p_a_maj': 22, 'p_a_conj': 10}
Row 127: {'time': '1935-11-14 12:17:28', 'p_a_allm': 21, 'p_a_min': 22, 'e': 2, 'p_a_maj': 12, 'p_a_conj': 9}
Row 128: {'time': '1935-11-14 20:53:28', 'p_a_allm': 27, 'p_a_min': 30, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 10}
Row 129: {'time': '1935-11-14 11:06:56', 'p_a_allm': 15, 'p_a_min': 29, 'e': 1, 'p_a_maj': 9, 'p_a_conj': 6}
Row 130: {'time': '1935-11-14 05:07:36', 'p_a_allm': 21, 'p_a_min': 35, 'e': 2, 'p_a_maj': 15, 'p_a_conj': 6}
Row 131: {'time': '1935-11-14 13:32:47', 'p_a_allm': 21, 'p_a_min': 27, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 4}
Row 132: {'time': '1935-11-14 07:57:19', 'p_a_allm': 28, 'p_a_min': 29, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 8}
